sample	cycle	replicate
22_1	22	1
22_2	22	2
22_3	22	3
22_4	22	4
22_5	22	5
22_6	22	6
22_7	22	7
22_8	22	8
22_9	22	9
22_10	22	10
22_11	22	11
22_12	22	12
23_1	23	1
23_2	23	2
23_3	23	3
23_4	23	4
23_5	23	5
23_6	23	6
23_7	23	7
23_8	23	8
23_9	23	9
23_10	23	10
23_11	23	11
23_12	23	12
24_1	24	1
24_2	24	2
24_3	24	3
24_4	24	4
24_5	24	5
24_6	24	6
24_7	24	7
24_8	24	8
24_9	24	9
24_10	24	10
24_11	24	11
24_12	24	12
25_1	25	1
25_2	25	2
25_3	25	3
25_4	25	4
25_5	25	5
25_6	25	6
25_7	25	7
25_8	25	8
25_9	25	9
25_10	25	10
25_11	25	11
25_12	25	12
26_1	26	1
26_2	26	2
26_3	26	3
26_4	26	4
26_5	26	5
26_6	26	6
26_7	26	7
26_8	26	8
26_9	26	9
26_10	26	10
26_11	26	11
26_12	26	12
